iso3,overlay,entity_count,coverage_flag
MMR,critical_infra,0,missing
MMR,energy,0,missing
MMR,none,29,present
MNE,media,0,missing
MNE,tech_platform,3,present
MNE,telecom,0,missing
MNE,defense,0,missing
MNE,security,0,missing
MNE,finance,0,missing
MNE,critical_infra,0,missing
MNE,energy,0,missing
MNE,none,27,present
MNG,media,0,missing
MNG,tech_platform,2,present
MNG,telecom,0,missing
MNG,defense,0,missing
MNG,security,0,missing
MNG,finance,0,missing
MNG,critical_infra,0,missing
MNG,energy,0,missing
MNG,none,12,present
MOZ,media,0,missing
MOZ,tech_platform,0,missing
MOZ,telecom,0,missing
MOZ,defense,0,missing
MOZ,security,0,missing
MOZ,finance,0,missing
MOZ,critical_infra,0,missing
MOZ,energy,0,missing
MOZ,none,4,present
MRT,media,0,missing
MRT,tech_platform,3,present
MRT,telecom,0,missing
MRT,defense,0,missing
MRT,security,0,missing
MRT,finance,0,missing
MRT,critical_infra,0,missing
MRT,energy,0,missing
MRT,none,13,present
MUS,media,0,missing
MUS,tech_platform,5,present
MUS,telecom,0,missing
MUS,defense,0,missing
MUS,security,0,missing
MUS,finance,0,missing
MUS,critical_infra,0,missing
MUS,energy,0,missing
MUS,none,26,present
MWI,media,0,missing
MWI,tech_platform,0,missing
MWI,telecom,0,missing
MWI,defense,0,missing
MWI,security,0,missing
MWI,finance,0,missing
MWI,critical_infra,0,missing
MWI,energy,0,missing
MWI,none,12,present
MYS,media,0,missing
MYS,tech_platform,2,present
MYS,telecom,0,missing
MYS,defense,0,missing
MYS,security,0,missing
MYS,finance,0,missing
MYS,critical_infra,0,missing
MYS,energy,0,missing
MYS,none,32,present
NAM,media,0,missing
NAM,tech_platform,0,missing
NAM,telecom,0,missing
NAM,defense,0,missing
NAM,security,0,missing
NAM,finance,0,missing
NAM,critical_infra,0,missing
NAM,energy,0,missing
NAM,none,10,present
NER,media,0,missing
NER,tech_platform,3,present
NER,telecom,0,missing
NER,defense,0,missing
NER,security,0,missing
NER,finance,0,missing
NER,critical_infra,0,missing
NER,energy,0,missing
NER,none,11,present
